,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status,SOP,LOR 
0,316,164,152,99,3.12,12,0,reject,4.5,4.5
1,316,164,152,99,3.12,12,0,reject,4,4.5
2,316,160,156,114,2.97,0,0,reject,3,3.5
3,317,168,149,106,2.83,15,0,reject,3.5,2.5
4,317,161,156,106,2.01,0,0,reject,2,3
5,299,151,148,101,3,35,0,reject,4.5,3
6,325,168,157,105,2.95,28,0,reject,3,4
7,314,164,150,103,3.2,3,1,reject,3,4
8,326,165,161,109,2.59,1,3,reject,2,1.5
9,328,169,159,106,2.84,30,0,reject,3.5,3
10,322,163,159,106,2.71,2,2,reject,3.5,4
11,300,160,140,99,2.71,24,3,reject,4,4.5
12,312,162,150,102,2.52,30,3,reject,4,4.5
13,316,159,157,104,1.89,43,0,reject,4,3
14,322,162,160,114,2.76,16,2,reject,3.5,2
15,316,164,152,99,3.12,12,0,reject,3.5,2.5
16,316,164,152,99,3.12,12,0,reject,4,3
17,316,160,156,114,2.97,0,0,reject,4,3
18,317,168,149,106,2.83,15,0,reject,4,3
19,317,161,156,106,2.01,0,0,reject,3.5,3
20,299,151,148,101,3,35,0,reject,3,2
21,325,168,157,105,2.95,28,0,reject,3,2
22,314,164,150,103,3.2,3,1,reject,5,5
23,326,165,161,109,2.59,1,3,reject,5,4.5
24,328,169,159,106,2.84,30,0,reject,4,3.5
25,322,163,159,106,2.71,2,2,reject,4.5,4.5
26,300,160,140,99,2.71,24,3,reject,4.5,3.5
27,312,162,150,102,2.52,30,3,reject,1.5,2.5
28,316,159,157,104,1.89,43,0,reject,2,2
29,322,162,160,114,2.76,16,2,reject,1.5,2
30,307,166,141,80,3.4,60,2,reject,3,3
31,330,168,162,113,2.98,34,2,reject,4,4
32,313,162,151,92,3.31,1,3,reject,3,4.5
33,313,162,151,92,3.31,1,3,reject,4,4
34,312,157,155,94,3.34,12,2,reject,4,5
35,321,164,157,110,1.21,4,3,reject,5,5
36,287,149,138,83,2.73,25,0,reject,4,4
37,315,158,157,113,2.38,17,2,reject,1,2
38,310,161,149,102,2.79,31,3,reject,3,1.5
39,312,164,148,101,3,30,0,reject,4,3.5
40,321,169,152,105,2.47,6,3,reject,3.5,3
41,327,169,158,106,2.84,41,0,reject,2.5,2.5
42,311,163,148,101,3.4,10,0,reject,2.5,2
43,304,153,151,104,2.85,24,0,reject,4.5,4
44,309,163,146,96,3.48,12,0,reject,4.5,4
45,300,157,143,99,3.3,30,0,reject,5,4
46,324,167,157,101,2.56,82,3,reject,4,5
47,312,157,155,110,2.86,25,3,reject,4.5,4
48,309,168,141,103,3.48,2,0,reject,3.5,5
49,310,158,152,97,2.26,57,0,reject,3,4
50,311,162,149,99,2.95,0,3,reject,2.5,4.5
51,315,165,150,97,3.53,24,0,reject,1.5,3.5
52,303,156,147,100,2.76,53,2,reject,4,3
53,307,157,150,93,3.05,25,0,reject,4,2.5
54,313,166,147,106,3.28,1,3,reject,3,3.5
55,322,170,152,101,2.81,25,3,reject,3,3
56,309,168,141,98,3.16,9,0,reject,2,3
57,308,159,149,95,3.36,14,0,reject,4,2
58,304,160,144,95,3.52,0,0,reject,3,2
59,311,166,145,97,3.35,0,0,reject,2,2
60,310,161,149,95,3.16,0,0,reject,3,3
61,311,159,152,93,2.94,15,0,reject,4,3
62,304,161,143,94,3.55,46,0,reject,3,3
63,310,158,152,103,2.08,60,0,reject,4,3
64,302,159,143,92,3.28,0,0,reject,3,3.5
65,305,145,160,101,1.95,50,2,reject,3.5,3.5
66,307,163,144,65,2.4,40,0,reject,3,3
67,317,170,147,96,3.16,31,0,reject,3.5,3.5
68,302,160,142,86,2.56,60,0,reject,3.5,4
69,308,161,147,96,3.52,24,0,reject,4.5,4
70,306,160,146,94,3.34,18,3,reject,5,5
71,305,163,142,91,2.6,45,0,reject,5,5
72,312,165,147,91,2.6,60,0,reject,5,5
73,305,155,150,94,2.59,19,0,reject,4.5,4
74,310,157,153,96,2.92,13,3,reject,3,5
75,313,164,149,90,3.28,15,1,reject,2,4
76,313,162,151,95,3.2,0,0,reject,3,3
77,314,163,151,95,2.51,60,0,reject,3,2
78,312,161,151,96,2.75,18,0,reject,3,2
79,308,164,144,90,3.37,0,0,reject,1.5,2
80,307,158,149,114,2.63,34,0,reject,2,3
81,319,170,149,86,3.68,13,0,reject,5,5
82,319,170,149,86,3.68,13,0,reject,5,4.5
83,314,166,148,89,2.67,13,2,reject,4,4.5
84,308,165,143,96,2.2,92,0,reject,4.5,4.5
85,310,160,150,93,3.6,1,0,reject,4.5,3.5
86,317,161,156,75,3.12,0,0,reject,4.5,3.5
87,312,167,145,100,2.8,21,0,reject,3.5,3
88,320,161,159,75,2.44,1,0,reject,4.5,3.5
89,305,161,144,98,2.78,2,0,reject,4.5,3.5
90,316,164,152,107,3.44,3,0,reject,4,4
91,319,169,150,105,3.3,0,0,reject,5,3.5
92,292,155,137,65,2.68,5,1,reject,4,3
93,315,166,149,99,3.08,12,0,reject,3,3
94,311,165,146,95,3.52,0,0,reject,2,2.5
95,312,160,152,109,3.4,7,0,reject,1.5,2.5
96,293,157,136,87,2,15,0,reject,3,3
97,318,164,154,108,2.4,46,0,reject,4,4
98,318,164,154,108,2.4,46,0,reject,5,4.5
99,319,170,149,108,2.64,42,0,reject,4,4
100,306,159,147,97,3.32,24,3,reject,3.5,3.5
101,303,160,143,89,3,0,0,reject,2.5,3
102,309,158,151,0,2.48,60,0,reject,4,3.5
103,303,160,143,101,2.1,0,0,reject,4.5,4
104,320,160,160,82,3.45,10,0,reject,3.5,3
