gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,university_name,status,ranking,SOP,LOR 
316,164,152,106,2.9,9,3,northeastern_university,accept,15,4.5,4.5
314,163,151,114,3.53,7,3,northeastern_university,accept,15,4,4.5
307,160,147,88,3,36,0,northeastern_university,accept,15,3,3.5
330,169,161,113,2.4,48,3,northeastern_university,accept,15,3.5,2.5
316,163,153,99,2.71,30,0,northeastern_university,accept,15,2,3
311,163,148,107,3.22,0,0,northeastern_university,accept,15,4.5,3
306,155,151,113,3.12,12,0,northeastern_university,accept,15,3,4
325,168,157,106,2.65,8,3,northeastern_university,accept,15,3,4
324,167,157,104,3.44,0,0,northeastern_university,accept,15,2,1.5
317,159,158,114,3.52,4,1,northeastern_university,accept,15,3.5,3
324,167,157,108,3.12,6,2,northeastern_university,accept,15,3.5,4
305,161,144,0,3.28,13,0,northeastern_university,accept,15,4,4.5
324,169,155,112,2.88,8,0,northeastern_university,accept,15,4,4.5
318,170,148,102,2.8,4,0,northeastern_university,accept,15,4,3
312,164,148,65,3.68,5,0,northeastern_university,accept,15,3.5,2
319,165,154,99,2.87,30,2,northeastern_university,accept,15,3.5,2.5
306,157,149,100,3.56,20,0,northeastern_university,accept,15,4,3
304,157,147,95,2.82,0,0,northeastern_university,accept,15,4,3
306,157,149,111,3.55,0,0,northeastern_university,accept,15,4,3
332,170,162,115,2.75,9,0,northeastern_university,accept,15,3.5,3
317,162,155,101,3.46,48,0,northeastern_university,accept,15,3,2
309,163,146,102,3.1,33,0,northeastern_university,accept,15,3,2
320,168,152,99,3.3,25,3,northeastern_university,accept,15,5,5
305,153,152,107,2.75,24,0,northeastern_university,accept,15,5,4.5
323,164,159,110,3.12,12,0,northeastern_university,accept,15,4,3.5
318,166,152,104,3.47,9,3,northeastern_university,accept,15,4.5,4.5
327,167,160,115,3.19,2,0,northeastern_university,accept,15,4.5,3.5
320,168,152,107,3.52,41,3,northeastern_university,accept,15,1.5,2.5
324,163,161,110,3.64,28,0,northeastern_university,accept,15,2,2
311,155,156,101,3.13,0,0,northeastern_university,accept,15,1.5,2
318,165,153,112,3.66,36,3,northeastern_university,accept,15,3,3
315,160,155,106,3.76,4,0,northeastern_university,accept,15,4,4
321,164,157,104,2.88,15,0,northeastern_university,accept,15,3,4.5
317,163,154,112,3.4,11,3,northeastern_university,accept,15,4,4
332,170,162,114,3.28,32,2,northeastern_university,accept,15,4,5
316,167,149,103,3.45,19,0,northeastern_university,accept,15,5,5
313,161,152,106,3.33,0,0,northeastern_university,accept,15,4,4
315,158,157,100,3,0,0,northeastern_university,accept,15,1,2
316,164,152,98,3.26,33,0,northeastern_university,accept,15,3,1.5
319,163,156,112,3.4,0,0,northeastern_university,accept,15,4,3.5
318,162,156,108,3.8,20,3,northeastern_university,accept,15,3.5,3
322,165,157,118,3.56,1,0,northeastern_university,accept,15,2.5,2.5
312,161,151,108,3.33,2,0,northeastern_university,accept,15,2.5,2
320,167,153,107,3.5,0,3,northeastern_university,accept,15,4.5,4
318,166,152,110,3.14,6,0,northeastern_university,accept,15,4.5,4
320,165,155,108,3.46,5,3,northeastern_university,accept,15,5,4
318,167,151,108,2.94,24,0,northeastern_university,accept,15,4,5
320,170,150,107,3.68,4,0,northeastern_university,accept,15,4.5,4
